day,t,agent_id,stage_name,intention,need,step_type,step_intention,status_text,step_eval_text,scenario,scenario_entry_reason,emitted,outcome,scenario_aligned,digital_gate_status,digital_gate_confidence,llm_match_status,llm_match_confidence
1,82801.0,6,shock,"Enjoy the meal alone or with a family member if possible",hungry,social,"Enjoy the meal alone or with a family member if possible",1,"Finished Enjoy the meal alone or with a family member if possible",ride_hailing,llm_primary,1,positive,0,ok,0.82,ok,0.73
2,10801.0,6,shock,"Plan a suitable time to visit a nearby store",safe,mobility,"Plan a suitable time to visit a nearby store",1,"Could not find target for message",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
2,14401.0,3,shock,"Return to the comfort of home",hungry,mobility,"Return to the comfort of home",1,"Successfully returned home (already at home)",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
2,18001.0,4,shock,"Return to home if not already there",hungry,mobility,"Return to home if not already there",1,"Successfully returned home (already at home)",ride_hailing,llm_primary,1,positive,1,ok,0.82,ok,0.73
2,21601.0,1,shock,"Retire to the bedroom",tired,mobility,"Retire to the bedroom",1,"Successfully returned home (already at home)",ride_hailing,matched,0,no_event,1,non_digital,0.0,non_digital,0.0
2,50401.0,2,recovery,"Enjoy the meal in a comfortable setting",hungry,other,"Enjoy the meal in a comfortable setting",1,"Finished executing Enjoy the meal in a comfortable setting",ride_hailing,llm_primary,1,positive,0,ok,0.82,ok,0.73
2,68401.0,2,recovery,"Review shopping list based on daily needs",safe,other,"Review shopping list based on daily needs",1,"Finished executing Review shopping list based on daily needs",ride_hailing,llm_primary,1,positive,0,ok,0.82,ok,0.73
2,72001.0,2,recovery,"Plan the most convenient route from home considering distance and traffic",safe,mobility,"Plan the most convenient route from home considering distance and traffic",1,"Selected destination: ('Cold Stone Creamery', 700001825)",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
2,79201.0,2,recovery,"Leave home to begin the shopping trip",safe,mobility,"Leave home to begin the shopping trip",1,"Successfully returned home (already at home)",ride_hailing,llm_primary,1,positive,1,ok,0.82,ok,0.73
2,82801.0,2,recovery,"Visit the nearest shopping center or grocery store",safe,mobility,"Visit the nearest shopping center or grocery store",1,"Selected destination: ('蚝哥海鲜', 700001603)",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
3,1.0,2,recovery,"Make purchases from the shopping list",safe,economy,"Make purchases from the shopping list",1,"Selected destination: ('', 700000064)",ride_hailing,llm_primary,0,no_event,0,ok,0.82,ok,0.73
3,1.0,6,recovery,"Identify nearest shopping center or convenience store",safe,mobility,"Identify nearest shopping center or convenience store",1,"Selected destination: ('新闻与传播学院', 700007925)",ride_hailing,llm_primary,1,positive,1,ok,0.82,ok,0.73
3,3601.0,6,recovery,"Check current contact information",social,other,"Check current contact information",1,"Finished Check current contact information",social_contact_coordination,llm_primary,0,no_event,1,ok,0.82,ok,0.73
3,7201.0,3,recovery,"Stay at home as no movement is necessary",hungry,mobility,"Stay at home as no movement is necessary",1,"Finished executing Stay at home as no movement is necessary",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
3,7201.0,6,recovery,"Call a friend",social,social,"Call a friend",1,"Could not find target for message",social_contact_coordination,llm_primary,0,no_event,1,ok,0.82,ok,0.73
3,10801.0,6,recovery,"Pick up phone to call friends",social,social,"Pick up phone to call friends",1,"Could not find target for message",social_contact_coordination,llm_primary,0,no_event,1,ok,0.82,ok,0.73
3,14401.0,1,recovery,"If not, prepare a meal or order delivery",hungry,other,"If not, prepare a meal or order delivery",1,"Finished executing If not, prepare a meal or order delivery",ride_hailing,llm_primary,1,negative,0,ok,0.82,ok,0.73
3,14401.0,3,recovery,"Stay at home as the weather is conducive and there is no urgency to move.",hungry,mobility,"Stay at home as the weather is conducive and there is no urgency to move.",1,"Finished executing Stay at home as the weather is conducive and there is no urgency to move.",ride_hailing,llm_primary,1,positive,1,ok,0.82,ok,0.73
3,18001.0,5,recovery,"Stay at home as location",hungry,mobility,"Stay at home as location",1,"Selected destination: ('', 700000978)",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
3,21601.0,4,recovery,"Stay home as it's already the target location",hungry,mobility,"Stay home as it's already the target location",1,"Failed to Stay home as it's already the target location",ride_hailing,llm_primary,0,no_event,1,ok,0.82,ok,0.73
