intention,action,agent_status_status,emitted,outcome,action_snapshot_day,action_snapshot_t,join_mode,join_lag_seconds
Check phone contacts,Check phone contacts,"I'm enjoying a leisurely morning, my phone in hand, as I navigate through my contact list, feeling content as the sun shines warmly through my window.",0,no_event,0,32401.0,prev_snapshot,3600.0
Select a friend to call,Select a friend to call,"I'm currently sipping my tea under the warm sun, feeling content as I mull over my plans to reach out to a friend today, and my thoughts are at peace with nothing weighing on me.",0,no_event,0,36001.0,prev_snapshot,3600.0
Rest or engage in leisure activities post-meal,Rest or engage in leisure activities post-meal,"I am enjoying a tranquil afternoon stroll in the park, my mind at ease, as the warm sun bathes me in its gentle light. My body feels a sense of relief, knowing that my meal is at home, where I can relax and indulge in a peaceful, leisurely activity once it's over.",0,no_event,0,46801.0,prev_snapshot,3600.0
Relax or engage in leisure activities after eating,Relax or engage in leisure activities after eating,"I'm taking a well-deserved break after a day of exploring new features on my phone. The sun is shining and I'm feeling content and relaxed, ready to unwind with a meal at home.",0,no_event,0,46801.0,prev_snapshot,3600.0
Rest or engage in leisure activities post-meal,Rest or engage in leisure activities post-meal,"I've just settled into a quiet corner of the park, enjoying the warmth of the sun and the tranquility of the surroundings. Today, I feel a sense of relief that no urgent issues are on my mind, and my thoughts are free of any particular worries.",0,no_event,0,50401.0,prev_snapshot,3600.0
Prepare for sleep by setting a comfortable environment,Prepare for sleep by setting a comfortable environment,"I am winding down for the day, enjoying the warmth of the sun as I sit in my small, familiar apartment, feeling a sense of comfort and peace as I get ready for a good night's rest. My thoughts are calm, and I feel a mix of contentment and anticipation for the quiet moments ahead.",0,no_event,0,61201.0,prev_snapshot,3600.0
Prepare for sleep by setting a comfortable environment,Prepare for sleep by setting a comfortable environment,"I'm settling into a quiet evening in my home, the sun casting a gentle warmth through the room, and I feel a sense of contentment as I prepare for sleep, my mind at ease with the hope that tomorrow will bring new opportunities to learn and grow.",1,positive,0,61201.0,prev_snapshot,3600.0
Enjoy the meal alone or possibly with a companion,Enjoy the meal alone or possibly with a companion,"I'm winding down at home after a long day. The sun sets, painting the sky in warm hues, and I'm thinking about a simple meal, reflecting on my day's efficiency and order.",0,no_event,0,79201.0,prev_snapshot,3600.0
Go to the bedroom and lie down,Go to the bedroom and lie down,"I've spent the evening at home, feeling hopeful that today was uneventful, and now I'm planning to go to bed, content with the quiet safety of my bedroom.",0,no_event,0,82801.0,prev_snapshot,3600.0
Sit down at the dining table,Sit down at the dining table,"I've just returned from a stroll under the sun's warm embrace, feeling a sense of relief as I prepare to sit down for dinner at home, where everything is familiar and tranquil.",0,no_event,1,1.0,prev_snapshot,3600.0
Return to a comfortable and familiar environment,Return to a comfortable and familiar environment,"I'm settled in my home, the warmth of the evening sun streaming through the window, as I navigate through a simple evening—my tech-savvy side enjoys the ease of using my phone to set up a dinner at home, while my cautious nature is slightly disturbed by a mix of feelings, as life's quiet river seems to offer a blend of contentment and a touch of uncertainty.",0,no_event,1,3601.0,prev_snapshot,3600.0
Enjoy a meal in a relaxing setting,Enjoy a meal in a relaxing setting,"I'm at home, feeling a mix of calm and anticipation. As the sun shines brightly outside, I'm contemplating a peaceful meal, reflecting on the day's quiet events.",0,no_event,1,10801.0,prev_snapshot,3600.0
Plan shopping list based on needs,Plan shopping list based on needs,"As I savor the morning sun, I'm contentedly planning my shopping list, my tech-savviness guiding me through the task with a balanced mix of curiosity and caution, all under the soothing glow of the sunlit room.",0,no_event,1,18001.0,prev_snapshot,3600.0
Set the alarm or reminder for an appropriate sleep time if needed,Set the alarm or reminder for an appropriate sleep time if needed,"I'm enjoying a peaceful walk in the park, the sunlight warming my face, as I take in the quiet beauty of the afternoon. My mind is clear, and I feel a contentment that comes from the simplicity of retirement.",0,no_event,1,50401.0,prev_snapshot,3600.0
Enjoy the meal in a comfortable setting,Enjoy the meal in a comfortable setting,"I'm enjoying a quiet evening at home, the sun's warmth still lingers outside as I sit comfortably and reflect on the simple yet satisfying day, feeling a sense of peace and relief.",0,no_event,1,75601.0,prev_snapshot,3600.0
Serve the meal in a comfortable and enjoyable setting,Serve the meal in a comfortable and enjoyable setting,"I've settled into the tranquility of my home at 9 o'clock, the bright sun still shining through the windows, feeling a sense of contentment as I anticipate a quiet evening, the blend of today's satisfying routine and the serene flow of life providing a balanced mix of peace and mild anticipation for the future.",0,no_event,1,75601.0,prev_snapshot,3600.0
Enjoy the meal alone or with a family member if possible,Enjoy the meal alone or with a family member if possible,"monologue:

As I sit comfortably at home, enjoying the warmth of the 23 degrees sunny evening, I'm feeling a mix of relief and contentment. The quiet routine of the day is bringing me a sense of peace, and while there's nothing particularly exciting happening, the simple joy of a home-cooked meal brings a smile to my face.",1,positive,1,79201.0,prev_snapshot,3600.0
Plan a suitable time to visit a nearby store,Plan a suitable time to visit a nearby store,"I'm enjoying a serene night, the sun setting beautifully outside, as I leisurely contemplate my day, content with the simplicity and peace it brought, knowing I'll soon visit a nearby store with a clear, satisfied mind.",0,no_event,2,7201.0,prev_snapshot,3600.0
Return to the comfort of home,Return to the comfort of home,"As I navigate the quiet of the night, feeling a mix of contentment and unease, I make my way back to the sanctuary of my home, a place where I feel safe amidst the uncertainty of life.",0,no_event,2,10801.0,prev_snapshot,3600.0
Return to home if not already there,Return to home if not already there,"I'm returning home from a quiet day, feeling content with the uneventful tranquility that has brought a sense of satisfaction despite its lack of excitement. The sun's warmth feels welcoming as I walk, reflecting my preference for simplicity and clarity in life.",1,positive,2,14401.0,prev_snapshot,3600.0
Retire to the bedroom,Retire to the bedroom,"As I wake up, the sun's gentle warmth feels soothing, and I am struck by a sense of relief that the day is starting off peacefully, free from any urgent tasks or disturbances. With the quiet of the morning enveloping me, I feel content to retreat to the comfort of my bedroom for a bit of rest and relaxation.",0,no_event,2,18001.0,prev_snapshot,3600.0
Enjoy the meal in a comfortable setting,Enjoy the meal in a comfortable setting,"Today, under the sunny skies, I find myself contentedly at home, looking forward to a relaxing meal in a setting that's familiar and comfortable, and while I've experienced no unusual incidents, I'm grateful for the peace and simplicity of this uneventful day.",1,positive,2,46801.0,prev_snapshot,3600.0
Review shopping list based on daily needs,Review shopping list based on daily needs,"After a peaceful routine day, I'm taking a moment to sit in the sun and mentally prepare my shopping list, cherishing the calm simplicity of the evening.",1,positive,2,64801.0,prev_snapshot,3600.0
Plan the most convenient route from home considering distance and traffic,Plan the most convenient route from home considering distance and traffic,"I'm winding down for the evening, considering my shopping list in a sunny 23-degree evening, my mind focused on plotting the simplest, most efficient path from home.",0,no_event,2,68401.0,prev_snapshot,3600.0
Leave home to begin the shopping trip,Leave home to begin the shopping trip,"I'm 71, feeling a peaceful calm this evening, and I'm preparing to leave the house for my planned shopping trip.",1,positive,2,75601.0,prev_snapshot,3600.0
Visit the nearest shopping center or grocery store,Visit the nearest shopping center or grocery store,"I'm taking a leisurely stroll through the sunlit evening, feeling content with the simple routine of the day, as I ponder the prospect of a visit to the local shopping center, enjoying the tranquility that the serene weather brings.",0,no_event,2,79201.0,prev_snapshot,3600.0
Make purchases from the shopping list,Make purchases from the shopping list,"I've just returned from a peaceful walk, the sun shining warmly as I meander through the neighborhood. Today feels like a quiet success, as I've managed to cross off several items from my shopping list without the hassle of dealing with those pesky online forms or pop-up ads.",0,no_event,2,82801.0,prev_snapshot,3600.0
Identify nearest shopping center or convenience store,Identify nearest shopping center or convenience store,"As I wind down the day under the sun's warm embrace, I navigate the familiar streets with a sense of calm, glad to be seeking out the nearest shopping spot to indulge in the simple pleasures of my retirement life.",1,positive,2,82801.0,prev_snapshot,3600.0
Check current contact information,Check current contact information,"I'm relaxing at home, the sun shining outside makes me feel quite content. I'm currently going through my contact list, ensuring I have everyone's information up-to-date, and it feels satisfying to organize these little bits of life.",0,no_event,3,1.0,prev_snapshot,3600.0
Stay at home as no movement is necessary,Stay at home as no movement is necessary,"As I sit comfortably at home, the serene sunshine outside matching the tranquility of my current state, I'm feeling a satisfying sense of contentment—today was uneventful, and that's just the way I like it.",0,no_event,3,3601.0,prev_snapshot,3600.0
Call a friend,Call a friend,"At this moment, I'm enjoying the tranquility of a sunny evening, contemplating the day's simple joys from the comfort of my home, eager to reach out and connect with a friend over a call.",0,no_event,3,3601.0,prev_snapshot,3600.0
Pick up phone to call friends,Pick up phone to call friends,"I'm sitting comfortably in my living room, the sun casting a warm glow through the window, and I'm about to make a call to friends, feeling content with the simplicity and peace of this uneventful evening.",0,no_event,3,7201.0,prev_snapshot,3600.0
"If not, prepare a meal or order delivery","If not, prepare a meal or order delivery","As I leisurely stroll through the park on this tranquil sunny morning, my heart is filled with relief and contentment. My day is spent enjoying the simple joys of retirement, secure in the knowledge that my loved ones are a call away, guiding me through the digital maze.",1,negative,3,10801.0,prev_snapshot,3600.0
Stay at home as the weather is conducive and there is no urgency to move.,Stay at home as the weather is conducive and there is no urgency to move.,"As the sun bathes the world in its gentle warmth, I sit comfortably in my quiet home, feeling a blend of contentment and cautious calm. I am content with the simplicity of my day, but a thread of caution runs through me, reminding me of the unsettling experiences that have shaped my cautious approach to digital interactions.",1,positive,3,10801.0,prev_snapshot,3600.0
Stay at home as location,Stay at home as location,"I am enjoying a quiet morning at home, the sun shining outside brings a warm comfort, and I feel a sense of relief in the simplicity of my day without the usual hustle and bustle.",0,no_event,3,14401.0,prev_snapshot,3600.0
Stay home as it's already the target location,Stay home as it's already the target location,"I'm relaxing at home, feeling a blend of contentment and a touch of melancholy from the tranquility of this uneventful day. The simplicity of my actions—using my apps and keeping things simple—brings a sense of peace that I'm quite fond of right now.",0,no_event,3,18001.0,prev_snapshot,3600.0
