attempt_uid,agent_id,day,t,step,stage_name,stage_index,intention,need,step_type,step_intention,status_text,step_eval_text,step_outcome,aligned_action,aligned_agent_status_status,aligned_action_snapshot_day,aligned_action_snapshot_t,aligned_join_mode,aligned_join_lag_seconds,digital_exposure,digital_from_action,digital_from_status,digital_from_intention,digital_from_signal,digital_task_hint,digital_task_hint_need,digital_task_hint_pending,digital_task_adopted,scenario,scenario_entry_reason,scenario_match_source,llm_match_status,llm_match_confidence,llm_match_reason,emitted,outcome,roll,p_negative_interval,p_positive_interval,total_event_prob,hazard_p_total,llm_status,match_pipeline_mode,digital_gate_source,digital_gate_status,digital_gate_confidence,digital_gate_reason,scenario_aligned,input_source,status_summary_text,plan_index,step_failure_pressure,step_success_support,step_consumed_time,step_effort_bucket,decision_mode,prob_model,llm_calls_this_step,llm_scenario_calls_this_step,llm_calls_for_agent,fallback_reason
fbef2127-0037801-001-0006,1,0,37801.0,37801,steady,0,Follow the on-screen instructions to verify account ownership,Check and ensure the payment transaction is secure to prevent future mistakes.,economy,Follow the on-screen instructions to verify account ownership,1,Finished executing Follow the on-screen instructions to verify account ownership,success,Follow the on-screen instructions to verify account ownership,"I'm cautiously navigating the app screen, my heart races a little as I type in the characters, my eyes straining to make out the cryptic symbols on the tiny screen, and I feel a twinge of anxiety as I seek help to set up that extra layer of security on my accounts.",0,36001.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,account_auth_security,llm_primary,llm_primary,ok,0.9,step_type matches account_auth_security and user intention is to verify account ownership,0,no_event,0.9751028931854085,0.07247640949232975,0.2655000337651867,0.2196846881173857,0.33797644325751647,ok,llm_unified_primary,llm_primary,ok,0.8,step_type matches account_auth_security and user intention is to verify account ownership,1,runtime_snapshot,"I'm cautiously navigating the app screen, my heart races a little as I type in the characters, my eyes straining to make out the cryptic symbols on the tiny screen, and I feel a twinge of anxiety as I seek help to set up that extra layer of",3,0.0,1.25,15.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0037801-006-0002,6,0,37801.0,37801,steady,0,Review shopping list,safe,other,Review shopping list,1,I finished: Review shopping list,success,Review shopping list,"I'm currently reviewing my shopping list in the sunshine, enjoying the warmth of 23C as I think about the day's errands, my mind clear and focused despite the lack of a clear need or emotional mood.",0,36001.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,digital_general,llm_primary,llm_primary,ok,0.8,"step_type matches 'other' and step_intention matches 'Review shopping list', indicating a general digital activity.",0,no_event,0.9687110866562201,0.05650884575978619,0.1512444176329515,0.2596915792409221,0.20775326339273767,cache_hit,llm_unified_primary,llm_primary,ok,0.9,"step_type matches 'other' and step_intention matches 'Review shopping list', indicating a general digital activity.",0,runtime_snapshot,"I'm currently reviewing my shopping list in the sunshine, enjoying the warmth of 23C as I think about the day's errands, my mind clear and focused despite the lack of a clear need or emotional mood.",0,0.5,1.0,97.0,high,hybrid,attempt_hazard,3,2,0,
fbef2127-0039601-001-0007,1,0,39601.0,39601,steady,0,Enter the verification code received on the phone,Check and ensure the payment transaction is secure to prevent future mistakes.,other,Enter the verification code received on the phone,1,Finished executing Enter the verification code received on the phone,success,Enter the verification code received on the phone,"I'm trying to input the verification code received on my old phone, feeling a bit anxious due to the small text and the multi-step process, while the warm sun outside makes me want to take a leisurely walk in the park.",0,37801.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,account_auth_security,llm_primary,llm_primary,ok,0.9,"step_type matches account_auth_security, step_intention and status_text support the scenario",1,positive,0.1925152113934644,0.07247640949232975,0.2655000337651867,0.2196846881173857,0.33797644325751647,ok,llm_unified_primary,llm_primary,ok,0.8,"step_type matches account_auth_security, step_intention and status_text support the scenario",1,runtime_snapshot,"I'm trying to input the verification code received on my old phone, feeling a bit anxious due to the small text and the multi-step process, while the warm sun outside makes me want to take a leisurely walk in the park.",4,0.0,1.25,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0039601-003-0002,3,0,39601.0,39601,steady,0,Set the dining table with a comfortable setting,hungry,other,Set the dining table with a comfortable setting,1,Finished executing Set the dining table with a comfortable setting,success,Set the dining table with a comfortable setting,"I'm carefully setting up the dining table at home, feeling a bit distressed as the sunlight streams in and the warmth touches my skin, yet I can't help but worry about potential online fraud, even though today seems otherwise uneventful.",0,37801.0,prev_snapshot,1800.0,1,1,1,1,0,在手机上完成线上缴费并确认支付结果,finance,1,0,digital_general,llm_primary,llm_primary,ok,0.9,"step_type indicates 'other', step_intention matches scenario, and status_summary suggests digital concern.",0,no_event,0.8245015988318231,0.1268816766697035,0.326573262470883,0.5668186739257332,0.4534549391405865,ok,llm_unified_primary,llm_primary,ok,0.8,"step_type indicates 'other', step_intention matches scenario, and status_summary suggests digital concern.",1,runtime_snapshot,"I'm carefully setting up the dining table at home, feeling a bit distressed as the sunlight streams in and the warmth touches my skin, yet I can't help but worry about potential online fraud, even though today seems otherwise uneventful.",1,0.0,1.0,30.0,low,hybrid,attempt_hazard,4,2,1,
fbef2127-0039601-006-0003,6,0,39601.0,39601,steady,0,Review shopping list,safe,other,Review shopping list,1,I finished: Review shopping list,success,Review shopping list,"I'm sifting through my shopping list on my phone, the sunlight streaming in makes it easy to see each item clearly, and despite the warmth outside, I'm focused and content with the task at hand.",0,37801.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,digital_general,llm_primary,llm_primary,ok,0.8,Step intention matches review shopping list and digital experience is high,1,positive,0.09062902093019809,0.05650884575978619,0.1512444176329515,0.2596915792409221,0.20775326339273767,cache_hit,llm_unified_primary,llm_primary,ok,0.9,Step intention matches review shopping list and digital experience is high,0,runtime_snapshot,"I'm sifting through my shopping list on my phone, the sunlight streaming in makes it easy to see each item clearly, and despite the warmth outside, I'm focused and content with the task at hand.",0,0.5,1.0,97.0,high,hybrid,attempt_hazard,5,3,0,
fbef2127-0041401-001-0008,1,0,41401.0,41401,steady,0,Complete the setup process and confirm the changes,Check and ensure the payment transaction is secure to prevent future mistakes.,economy,Complete the setup process and confirm the changes,1,Finished executing Complete the setup process and confirm the changes,success,Complete the setup process and confirm the changes,"I'm struggling to navigate the two-factor authentication process on my phone, feeling a mix of frustration and relief at the same time as I attempt to follow family's instructions over the phone, while the sun is shining warmly outside.",0,39601.0,prev_snapshot,1800.0,1,0,0,1,0,,,0,0,account_auth_security,llm_primary,llm_primary,ok,0.8,"step_type indicates economy, step_intention matches intention, step_outcome is success, and status_text suggests a security-related step.",0,no_event,0.6533096729011735,0.07838348711730402,0.25007448395153503,0.21349768119474538,0.32845797106883906,ok,llm_unified_primary,llm_primary,ok,0.5,"step_type indicates economy, step_intention matches intention, step_outcome is success, and status_text suggests a security-related step.",0,runtime_snapshot,"I'm struggling to navigate the two-factor authentication process on my phone, feeling a mix of frustration and relief at the same time as I attempt to follow family's instructions over the phone, while the sun is shining warmly outside.",5,0.0,1.0,30.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0041401-006-0004,6,0,41401.0,41401,steady,0,Review shopping list,safe,other,Review shopping list,1,I finished: Review shopping list,success,Review shopping list,"I'm leisurely sifting through my phone, the sun's warmth enveloping me as I prepare for a shopping trip, my mind light and hopeful, not yet swayed by the myriad of tech features that could potentially complicate the process.",0,39601.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,digital_general,llm_primary,llm_primary,ok,0.8,Step intention matches review shopping list and digital experience is moderate,0,no_event,0.887574718714095,0.05288514483599796,0.14392927097477629,0.2460180197634678,0.19681441581077425,cache_hit,llm_unified_primary,llm_primary,ok,0.9,Step intention matches review shopping list and digital experience is moderate,0,runtime_snapshot,"I'm leisurely sifting through my phone, the sun's warmth enveloping me as I prepare for a shopping trip, my mind light and hopeful, not yet swayed by the myriad of tech features that could potentially complicate the process.",0,0.5,1.0,97.0,high,hybrid,attempt_hazard,3,2,0,
fbef2127-0066601-005-0002,5,0,66601.0,66601,steady,0,Pick up the phone and dial the first friend's number,social,social,Pick up the phone and dial the first friend's number,1,Could not find target for message,failure,Pick up the phone and dial the first friend's number,"Right now, I'm in a sunny, pleasant 23-degree evening, feeling a sense of relief as I sit down to call a friend, knowing I can rely on their help for any digital hurdles. There's nothing particularly noteworthy going on, just enjoying the calm after the day's tasks.",0,64801.0,prev_snapshot,1800.0,1,1,1,1,0,在手机上完成线上缴费并确认支付结果,finance,1,0,social_contact_coordination,matched,rule_fallback,parse_failed,0.0,matched,1,negative,0.3329805575434246,0.34225815394077064,0.1109505396892188,0.5665108670374868,0.45320869362998945,ok,llm_unified_primary,llm_primary,parse_failed,0.0,,1,runtime_snapshot,"Right now, I'm in a sunny, pleasant 23-degree evening, feeling a sense of relief as I sit down to call a friend, knowing I can rely on their help for any digital hurdles. There's nothing particularly noteworthy going on, just enjoying the c",0,1.0,0.0,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0066601-006-0005,6,0,66601.0,66601,steady,0,Pick up the phone,social,social,Pick up the phone,1,Successfully returned home (already at home),success,Pick up the phone,"I'm lounging at home, the sun shining warmly through my window, feeling a sense of relief as I contemplate what to do next; I'm thinking of reaching out to some friends.",0,64801.0,prev_snapshot,1800.0,1,1,0,1,0,,,0,0,social_contact_coordination,llm_primary,llm_primary,ok,0.9,"Step intention matches social contact coordination, high digital experience supports digital interaction.",0,no_event,0.9038101667770955,0.030832982799739454,0.1491249445794091,0.22494740922393572,0.17995792737914856,ok,llm_unified_primary,llm_primary,ok,0.7,"Step intention matches social contact coordination, high digital experience supports digital interaction.",1,runtime_snapshot,"I'm lounging at home, the sun shining warmly through my window, feeling a sense of relief as I contemplate what to do next; I'm thinking of reaching out to some friends.",0,0.0,1.0,0.0,unknown,hybrid,attempt_hazard,4,2,1,
fbef2127-0068401-005-0003,5,0,68401.0,68401,steady,0,Pick up the phone,social,other,Pick up the phone,1,Finished executing Pick up the phone,success,Pick up the phone,"I'm sitting in my quiet living room, the sun shining through the window, and I feel a wave of distress as I contemplate the new online app I tried earlier—my frustration is mounting because every time I hit a snag, I'm inclined to give up, despite my willingness to learn.",0,66601.0,prev_snapshot,1800.0,1,1,1,1,0,在手机上完成线上缴费并确认支付结果,finance,1,0,info_ad_click,min_stage_attempt_force,random_fallback,low_confidence,0.5,"step_type indicates 'other', step_intention matches 'Pick up the phone', and status_text indicates success, but user expresses frustration with digital experience.",0,no_event,0.7126987716064038,0.06241737284748266,0.25349084796882543,0.20534034353060027,0.3159082208163081,ok,llm_unified_primary,llm_primary,low_confidence,0.5,"step_type indicates 'other', step_intention matches 'Pick up the phone', and status_text indicates success, but user expresses frustration with digital experience.",0,runtime_snapshot,"I'm sitting in my quiet living room, the sun shining through the window, and I feel a wave of distress as I contemplate the new online app I tried earlier—my frustration is mounting because every time I hit a snag, I'm inclined to give up, ",0,0.0,1.25,1.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0068401-006-0006,6,0,68401.0,68401,steady,0,Call a friend,social,social,Call a friend,1,Could not find target for message,failure,Call a friend,"I'm currently enjoying a pleasant evening, the sun shining warmly outside. My mind is at ease, and I'm thinking about reaching out to a friend to chat, perhaps sharing my latest discoveries with smart technology.",0,66601.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,social_contact_coordination,matched,rule_fallback,low_confidence,0.5,"step_type: social, step_intention: Call a friend, step_outcome: failure, step_eval_text: Could not find target for message",0,no_event,0.9937823062789621,0.20844267699871197,0.09145651328180567,0.374873987850647,0.29989919028051765,ok,llm_unified_primary,llm_primary,low_confidence,0.5,"step_type: social, step_intention: Call a friend, step_outcome: failure, step_eval_text: Could not find target for message",1,runtime_snapshot,"I'm currently enjoying a pleasant evening, the sun shining warmly outside. My mind is at ease, and I'm thinking about reaching out to a friend to chat, perhaps sharing my latest discoveries with smart technology.",1,1.0,0.0,5.0,low,hybrid,attempt_hazard,4,2,1,
fbef2127-0070201-006-0007,6,0,70201.0,70201,steady,0,Pick up the phone to call a friend,social,social,Pick up the phone to call a friend,1,Could not find target for message,failure,Pick up the phone to call a friend,"I'm enjoying a tranquil evening, the sun still shining warmly at 7 PM, as I reach for my phone to call a friend, ready to share some light-hearted banter or perhaps discuss a new tech trick I've recently discovered.",0,68401.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,social_contact_coordination,matched,rule_fallback,low_confidence,0.5,"step_type: social, step_intention: Pick up the phone to call a friend, step_outcome: failure, step_eval_text: Could not find target for message",1,positive,0.2882248031734935,0.1751763765689037,0.07686055869658368,0.31504616908185923,0.25203693526548737,ok,llm_unified_primary,llm_primary,low_confidence,0.5,"step_type: social, step_intention: Pick up the phone to call a friend, step_outcome: failure, step_eval_text: Could not find target for message",1,runtime_snapshot,"I'm enjoying a tranquil evening, the sun still shining warmly at 7 PM, as I reach for my phone to call a friend, ready to share some light-hearted banter or perhaps discuss a new tech trick I've recently discovered.",0,1.0,0.0,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0072001-006-0008,6,0,72001.0,72001,steady,0,Check my phone contacts to find available friends,social,social,Check my phone contacts to find available friends,1,No target found in social network.,failure,Check my phone contacts to find available friends,"I'm enjoying a sunny evening, feeling a sense of relief as I navigate through my phone, seeking out my friends' contact details for a possible get-together.",0,70201.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,social_contact_coordination,llm_primary,llm_primary,ok,0.9,"Step intention and outcome indicate social contact coordination, with high digital experience and low vision limit suggesting user capability and vulnerability respectively.",0,no_event,0.75511263838725,0.16634082758984844,0.07411264863225495,0.15629475954436722,0.2404534762221034,ok,llm_unified_primary,llm_primary,ok,0.8,"Step intention and outcome indicate social contact coordination, with high digital experience and low vision limit suggesting user capability and vulnerability respectively.",1,runtime_snapshot,"I'm enjoying a sunny evening, feeling a sense of relief as I navigate through my phone, seeking out my friends' contact details for a possible get-together.",0,1.0,0.0,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0073801-006-0009,6,0,73801.0,73801,steady,0,Pick up the phone,social,other,Pick up the phone,1,"Selected destination: ('敬老公寓', 700007988)",success,Pick up the phone,"I am relaxing at home, enjoying the pleasant sunny evening, and feeling content with the quiet, nothing out of the ordinary is happening in my life.",0,72001.0,prev_snapshot,1800.0,1,1,0,1,0,,,0,0,social_contact_coordination,llm_primary,llm_primary,ok,0.8,"Step intention matches social contact coordination, and no other scenarios are strongly supported.",0,no_event,0.20038757777195482,0.02486882518014102,0.1426169508844409,0.10886575444197825,0.16748577606458193,ok,llm_unified_primary,llm_primary,ok,0.9,"Step intention matches social contact coordination, and no other scenarios are strongly supported.",0,runtime_snapshot,"I am relaxing at home, enjoying the pleasant sunny evening, and feeling content with the quiet, nothing out of the ordinary is happening in my life.",0,0.0,1.25,5.0,low,hybrid,attempt_hazard,2,1,1,
fbef2127-0077401-006-0010,6,0,77401.0,77401,steady,0,Set the dining table with a nice setting,hungry,other,Set the dining table with a nice setting,1,Finished executing Set the dining table with a nice setting,success,Set the dining table with a nice setting,"I'm at home, the sun is still shining warmly outside, and I'm getting ready to enjoy a peaceful dinner by setting the table with a cozy ambiance, feeling content and looking forward to my evening meal.",0,75601.0,prev_snapshot,1800.0,1,1,1,1,0,,,0,0,digital_general,llm_primary,llm_primary,ok,0.8,step_type is 'other' and step_intention matches scenario intention,0,no_event,0.7561179169100481,0.02891563412347948,0.14201458658903915,0.1111046434631371,0.17093022071251862,ok,llm_unified_primary,llm_primary,ok,0.9,step_type is 'other' and step_intention matches scenario intention,1,runtime_snapshot,"I'm at home, the sun is still shining warmly outside, and I'm getting ready to enjoy a peaceful dinner by setting the table with a cozy ambiance, feeling content and looking forward to my evening meal.",1,0.0,1.0,20.0,low,hybrid,attempt_hazard,2,1,1,
