action,behavior_coarse,count
Enjoy the meal alone to reflect on the quiet day,饮食相关,6
"Enjoy the meal outside, taking into account the tranquility and relief mentioned",数字设备与账号操作,6
Ensure the room is comfortable for sleep,睡眠相关,6
Enter sleep mode,睡眠相关,6
Head towards home,出行移动,6
Listen to soothing music,放松与情绪调节,6
Open the front door,出行移动,6
Plan the meal,饮食相关,6
Prepare a meal considering the tranquility of the day and your satisfaction with it,饮食相关,6
Prepare and cook a meal at home,饮食相关,6
Prepare for sleep by setting up a comfortable environment,睡眠相关,6
Prepare shopping list based on needs,购物采购,6
Prepare the bedroom,睡眠相关,6
Prepare the kitchen for cooking,饮食相关,6
Prepare the meal,饮食相关,6
Read a book for leisure,放松与情绪调节,6
Relax body and mind,放松与情绪调节,6
Relax in a comfortable chair and read a book,放松与情绪调节,6
Relax with a good book,放松与情绪调节,6
Return home after shopping,购物采购,6
Return home from workplace,工作任务,6
Return to home from workplace,工作任务,6
Return to my home,出行移动,6
Return to my home from the current location,出行移动,6
Serve and enjoy the meal,饮食相关,6
Set the alarm for the next day,睡眠相关,6
Set the alarm if needed,睡眠相关,6
Set the room temperature to a comfortable level for sleep,睡眠相关,6
Set up a comfortable sleep environment,睡眠相关,6
Shop by comparing prices and qualities of items,购物采购,6
Start cooking the chosen meal,饮食相关,6
Travel back to home,出行移动,6
Travel to the chosen shopping location,购物采购,6
Travel to the nearest shopping center,购物采购,6
Travel to the selected shopping location,购物采购,6
Turn off all electronic devices,数字设备与账号操作,6
Assess current comfort level,家居环境管理,5
Begin cooking a meal,饮食相关,5
Dim the lights to create a relaxing environment,放松与情绪调节,5
Eat the meal at home,饮食相关,5
Engage in a calming activity to induce sleep,睡眠相关,5
Enjoy the meal alone or with family if available,饮食相关,5
Ensure all necessary ingredients are available,饮食相关,5
Ensure the bedroom is comfortable,睡眠相关,5
Lay down in the bed,睡眠相关,5
Prepare and cook the selected meal,饮食相关,5
Prepare the bed for sleep,睡眠相关,5
Reflect on how the tranquility has contributed to a sense of satisfaction,放松与情绪调节,5
"Reflect on the simplicity of the meal and the day, reinforcing the emotion of satisfaction",饮食相关,5
Relax and unwind before sleep,睡眠相关,5
Return home with purchased items,购物采购,5
Return home with the purchased items,购物采购,5
Select a friend to call,社交沟通,5
Select items from the shopping list,购物采购,5
Serve the meal on a table,饮食相关,5
Set the table for the meal,饮食相关,5
"Shop based on the prepared list, considering the income and consumption level",购物采购,5
Travel to the nearest shopping center or store,购物采购,5
Wear comfortable clothing suitable for the weather,家居环境管理,5
Attempt to fall asleep,睡眠相关,4
Begin cooking a meal that is easy to prepare and suitable for evening consumption,饮食相关,4
Begin cooking the meal,饮食相关,4
Begin meal preparation,饮食相关,4
Begin shopping for items on the list and any additional needs,购物采购,4
Begin the meal preparation process,饮食相关,4
Begin work on tasks,工作任务,4
Change into comfortable sleep attire,睡眠相关,4
Consider any additional activities or relaxation to round off the evening following the meal,饮食相关,4
Consume the meal,饮食相关,4
"Cook a simple, satisfying meal",饮食相关,4
Determine shopping list based on needs,购物采购,4
"Engage in a calming activity that brings joy, such as reading or listening to music",放松与情绪调节,4
"Engage in a calming activity, such as reading or meditation",放松与情绪调节,4
Engage in a calming bedtime routine,睡眠相关,4
"Engage in a hobby, such as gardening or puzzles",放松与情绪调节,4
Engage in calming activities such as reading or meditating,放松与情绪调节,4
Engage in gentle reading or a puzzle,放松与情绪调节,4
Engage in light activity or read a book to relax,放松与情绪调节,4
Engage in light reading or a hobby to occupy time,放松与情绪调节,4
Engage in light reading or research to prepare for work,工作任务,4
Engage in relaxing activities,放松与情绪调节,4
Enjoy a home-cooked meal,饮食相关,4
Enjoy the meal alone,饮食相关,4
Enjoy the meal alone in the tranquility of home,饮食相关,4
Enjoy the meal alone or invite a close friend or family member if desired,社交沟通,4
Enjoy the meal alone or with companionship,饮食相关,4
Enjoy the meal and find solace in the routine,饮食相关,4
Enjoy the meal in a relaxed manner to savor the day's tranquility,饮食相关,4
Enjoy the meal in a relaxed setting,饮食相关,4
Enjoy the meal in a tranquil and comfortable setting,饮食相关,4
Enjoy the meal in peace,饮食相关,4
Enjoy the meal outside,饮食相关,4
Ensure comfortable sleeping environment,睡眠相关,4
Ensure the environment is conducive for sleep,睡眠相关,4
Ensure the room is comfortable for sleeping,睡眠相关,4
Ensure the room is dark to facilitate sleep,睡眠相关,4
Go to bed,睡眠相关,4
Leave workplace,工作任务,4
Lie down and drift off to sleep,睡眠相关,4
Lie down and prepare for sleep,睡眠相关,4
Lie down in the prepared bed,睡眠相关,4
Listen to relaxing music or an audio book,放松与情绪调节,4
"Perform a relaxing activity (e.g., reading or listening to calm music) to unwind",放松与情绪调节,4
Perform relaxation techniques,放松与情绪调节,4
"Plan a light evening activity, like reading or meditation, to conclude the day",放松与情绪调节,4
Practice relaxation techniques,放松与情绪调节,4
Prepare a home-cooked meal as it aligns with the feeling of simplicity and peace today,饮食相关,4
Prepare a meal based on available ingredients,饮食相关,4
Prepare a meal considering dietary needs and preferences,饮食相关,4
Prepare a meal with available ingredients,饮食相关,4
Prepare a nourishing lunch considering retirement age and current temperature,饮食相关,4
Prepare a nutritious and easy-to-consume meal due to advanced age,饮食相关,4
Prepare a nutritious meal considering the tranquil and fulfilling feeling of the day,饮食相关,4
Prepare a nutritious meal for lunch to enjoy at home,饮食相关,4
Prepare a shopping list based on needs,购物采购,4
Prepare a simple meal at home,饮食相关,4
"Prepare a simple, nourishing meal suitable for your age and health",饮食相关,4
Prepare and consume the meal,饮食相关,4
Prepare and cook the planned meal,饮食相关,4
Prepare and enjoy an evening meal,饮食相关,4
Prepare breakfast,饮食相关,4
Prepare dinner as a home-cooked meal,饮食相关,4
Prepare for bed by changing into comfortable clothing,睡眠相关,4
Prepare for meal,饮食相关,4
Prepare for rest,睡眠相关,4
Prepare for sleep by creating a comfortable environment,睡眠相关,4
Prepare for sleep by dimming lights,睡眠相关,4
Prepare for sleep by relaxing,睡眠相关,4
Prepare for sleep by winding down,睡眠相关,4
Prepare for travel,出行移动,4
Prepare ingredients and start cooking,饮食相关,4
Prepare ingredients for a meal,饮食相关,4
Prepare ingredients for the meal,饮食相关,4
Prepare meal using available ingredients,饮食相关,4
Prepare the ingredients for cooking,饮食相关,4
Prepare the meal based on the assessed options,饮食相关,4
Prepare the meal based on the preference of the day,饮食相关,4
Prepare the meal using available ingredients,饮食相关,4
Prepare the meal with a focus on tranquility,饮食相关,4
"Prepare the selected meal, considering the current weather and temperature",饮食相关,4
Prepare the sleep environment,睡眠相关,4
Prepare the sleeping area,睡眠相关,4
Purchase necessary items,购物采购,4
Read a book or listen to calm music,放松与情绪调节,4
Read a book or magazine,放松与情绪调节,4
Read a book or magazine for some quiet entertainment,放松与情绪调节,4
Reflect on the day's events,放松与情绪调节,4
Reflect on the day's tranquility during the meal,饮食相关,4
Reflect on the tranquility of the morning,放松与情绪调节,4
Relax and drift off to sleep,睡眠相关,4
Relax and enjoy the calm atmosphere,放松与情绪调节,4
Relax and enjoy the quiet day,放松与情绪调节,4
Relax and unwind from the day's activities,放松与情绪调节,4
Relax and unwind to prepare for sleep,睡眠相关,4
Relax in a comfortable chair with a book,放松与情绪调节,4
Relax in a comfortable position in the living room,放松与情绪调节,4
"Relax with a book or hobby, immersing myself in a peaceful activity",放松与情绪调节,4
Review and organize personal belongings to maintain a peaceful space,计划与决策,4
Review the day's events in a journal,放松与情绪调节,4
Savor the meal and reflect on the day's contentment,饮食相关,4
Select a friend to contact,社交沟通,4
Select and prepare ingredients for a meal,饮食相关,4
Set the alarm for an appropriate wake-up time,睡眠相关,4
Set the alarm for the next day if needed,睡眠相关,4
Set the room temperature to 23C,家居环境管理,4
Set the table,饮食相关,4
Stay home to enjoy tranquility,放松与情绪调节,4
Travel to the shopping center,购物采购,4
Unlock the front door,出行移动,4
Wash the dishes,饮食相关,4
Wind down by engaging in a calming activity,睡眠相关,4
Adjust to a comfortable sleeping position,睡眠相关,3
Arrive at the dining location,饮食相关,3
Assess available food options at current location,饮食相关,3
Assess available food options at workplace,工作任务,3
Assess current sleepiness level,计划与决策,3
Assess the available options based on current preferences,计划与决策,3
"Begin a leisurely walk, focusing on the surroundings",出行移动,3
Begin cooking a home-cooked meal,饮食相关,3
"Begin preparing a meal with a simple dish, reflecting on the day's calm and balance",饮食相关,3
Begin the process of falling asleep,睡眠相关,3
Begin to wind down and transition into sleep,睡眠相关,3
Check current contacts list,其他,3
Check inventory for available food items,购物采购,3
Choose a friend to call,社交沟通,3
Choose a meal or order food from the selected location,饮食相关,3
Choose the nearest shopping center based on mobility and convenience,购物采购,3
Close your eyes and allow yourself to drift off to sleep,睡眠相关,3
Complete the shopping task,工作任务,3
Consume the chosen food item or meal,饮食相关,3
Consume the food at the current location,饮食相关,3
Consume the meal at the chosen location,饮食相关,3
Determine the distance and time required to reach a nearby restaurant or open-air dining area,饮食相关,3
Dim the lights,家居环境管理,3
Dim the lights to create a sleep-friendly atmosphere,睡眠相关,3
Drive to the nearest shopping center,购物采购,3
End the walk and return to the starting point,出行移动,3
Engage in a calming activity such as reading or meditation,放松与情绪调节,3
Engage in a calming activity to relax before sleep,睡眠相关,3
Engage in a relaxing activity to calm the mind,放松与情绪调节,3
Enjoy a meal,饮食相关,3
Enjoy the meal alone as a moment of self-reflection and appreciation of the day's tranquility,饮食相关,3
Enjoy the meal alone as a reflection of the day's peacefulness,饮食相关,3
Enjoy the meal alone or with companions,饮食相关,3
"Enjoy the meal alone, reflecting on the day's tranquility",饮食相关,3
Enjoy the meal in a comfortable setting at home,饮食相关,3
"Enjoy the meal outside, savoring the sunny atmosphere",饮食相关,3
Enjoy the meal prepared,饮食相关,3
Ensure a comfortable environment,家居环境管理,3
Ensure all necessary items are in reach for easy access,购物采购,3
Ensure comfort for sleep,睡眠相关,3
Ensure comfort in sleeping environment,睡眠相关,3
Ensure food is ready and served,饮食相关,3
Ensure kitchen essentials are available,饮食相关,3
Ensure leftovers are stored properly,其他,3
Ensure the bedroom environment is conducive to sleep,睡眠相关,3
Ensure the kitchen is ready for cooking,饮食相关,3
Ensure the room is cool and comfortable,家居环境管理,3
Enter home and secure doors,出行移动,3
Enter the kitchen,饮食相关,3
Enter the store and proceed to the aisles with the shopping list,购物采购,3
Head home,出行移动,3
Head to the chosen shopping location using the most comfortable and time-efficient method of transportation,购物采购,3
Head to the selected outdoor venue,其他,3
Head towards the nearest park,出行移动,3
Head towards the nearest supermarket,购物采购,3
Initiate the sleep process,睡眠相关,3
Leave home and travel to the nearest shopping area,购物采购,3
Leave workplace and start journey home,工作任务,3
Leave workplace to travel home,工作任务,3
Lie down and go to sleep,睡眠相关,3
Lie down in bed in a comfortable position,睡眠相关,3
Locate the venue and navigate to it,其他,3
Move from current location to home,出行移动,3
Move from current location to the house,出行移动,3
Move from outside to inside the house,出行移动,3
Move towards home,其他,3
Navigate within the store to find items on the shopping list,购物采购,3
Order and consume the meal,饮食相关,3
Perform a calming bedtime routine,睡眠相关,3
Plan a meal based on the day's emotions and tranquility,饮食相关,3
Plan the route to the dining location,饮食相关,3
Practice relaxation techniques to ease into sleep,睡眠相关,3
Prep ingredients and cook the planned meal,饮食相关,3
Prepare a meal based on dietary preferences and restrictions,饮食相关,3
Prepare a meal that suits your taste,饮食相关,3
Prepare a nutritious meal,饮食相关,3
Prepare a simple meal considering the tranquil mood,饮食相关,3
"Prepare a simple, nutritious meal for lunch",饮食相关,3
Prepare and cook the meal with ease,饮食相关,3
Prepare and serve the meal,饮食相关,3
Prepare dinner using available ingredients,饮食相关,3
Prepare for a comfortable sleep environment,睡眠相关,3
Prepare for bed by changing into comfortable attire,睡眠相关,3
Prepare for relaxation,放松与情绪调节,3
Prepare for sleep by ensuring a comfortable environment,睡眠相关,3
Prepare or order food for an outdoor meal,饮食相关,3
Prepare shopping list,购物采购,3
Prepare the bedroom for a comfortable sleep environment,睡眠相关,3
Prepare the meal at home,饮食相关,3
Prepare the meal in a comfortable and safe environment,饮食相关,3
Proceed to the checkout counter and pay for the purchased items,购物采购,3
Proceed to the chosen eating option,饮食相关,3
Proceed to the shopping location,购物采购,3
Relax and unwind before sleeping,睡眠相关,3
Relax and unwind in preparation for sleep,睡眠相关,3
Relax mind and body,放松与情绪调节,3
Retire to my bedroom,睡眠相关,3
Retrieve contact information,社交沟通,3
Return home,出行移动,3
Return home from the current location,出行移动,3
Return home to prepare for eating,饮食相关,3
Return home with the shopping items,购物采购,3
Return to home from the current location,出行移动,3
Return to home safely,出行移动,3
Return to home to prepare the meal,饮食相关,3
Return to my home from current location,出行移动,3
Return to the home,出行移动,3
Return to the home environment,出行移动,3
Return to the house,出行移动,3
Review current savings and budget for shopping,购物采购,3
Review necessary shopping list,购物采购,3
Secure and close all entry points to ensure safety,家居环境管理,3
Select and purchase the items on the shopping list,购物采购,3
Select nearest shopping location based on current location,购物采购,3
Serve the prepared meal,饮食相关,3
Set out to the planned shopping destination,购物采购,3
Set the alarm for morning if needed,睡眠相关,3
Set the alarm for the desired wake-up time,睡眠相关,3
Set the alarm for the next morning,睡眠相关,3
Set the table with a pleasant setting,饮食相关,3
Sit down and order food or find a seat,饮食相关,3
Start cooking a home-cooked meal,饮食相关,3
Start preparing the meal,饮食相关,3
Take the necessary transportation to the shopping center,购物采购,3
Transport the food to the selected outdoor location,饮食相关,3
Travel from workplace to home,工作任务,3
Travel to local shopping center,购物采购,3
Travel to local supermarket,购物采购,3
Travel to the chosen dining location,饮食相关,3
Travel to the chosen location,出行移动,3
Travel to the grocery store,购物采购,3
Travel to the nearest store,购物采购,3
Travel to the nearest store or market by foot or public transportation,购物采购,3
Travel to the selected dining establishment,饮食相关,3
Travel to the selected dining location if necessary,饮食相关,3
Travel to the selected store,购物采购,3
Travel to the selected store using a suitable mode of transport,购物采购,3
Unlock and enter home,出行移动,3
Walk to the grocery store,购物采购,3
 Lie down in a comfortable position,睡眠相关,2
 Lie down in bed,睡眠相关,2
 Lie down in the bed,睡眠相关,2
Access a communication device such as a phone or a tablet,数字设备与账号操作,2
Access my contact list,社交沟通,2
Access my phone,数字设备与账号操作,2
Access phone,数字设备与账号操作,2
Access phone or device,数字设备与账号操作,2
Adjust room temperature if necessary for comfort,家居环境管理,2
Adjust room temperature if necessary to 23C,家居环境管理,2
Adjust room temperature to 23C if necessary,家居环境管理,2
Adjust room temperature to a comfortable level,家居环境管理,2
Adjust room temperature to a comfortable level if necessary,家居环境管理,2
Adjust the bedroom temperature if necessary,睡眠相关,2
Adjust the room temperature if necessary to 23C,家居环境管理,2
Adjust the room temperature to a comfortable level for sleep,睡眠相关,2
Adjust the room temperature to be comfortable,家居环境管理,2
"After the meal, clear the dishes and wash them if necessary",饮食相关,2
Appreciate the tranquility of the evening,放松与情绪调节,2
Assess and confirm home meal options,饮食相关,2
Assess available options for shopping due to retirement income level,购物采购,2
Assess available time for shopping,购物采购,2
Assess current energy levels,计划与决策,2
Assess current environment,家居环境管理,2
Assess current fatigue level,计划与决策,2
Assess current hunger level and decide what to eat,饮食相关,2
Assess current state of alertness,计划与决策,2
Assess current surroundings for suitable dining options,饮食相关,2
Assess home-cooked meal preparation,饮食相关,2
Assess income and needs,计划与决策,2
Assess meal preparation needs,饮食相关,2
Assess meal quality and satisfaction,饮食相关,2
Assess personal needs and budget for shopping,购物采购,2
Assess shopping needs based on daily activities,购物采购,2
Assess sleepiness,计划与决策,2
Assess sleepiness level,计划与决策,2
Assess the available food options at the current location,饮食相关,2
Begin a relaxing morning with a quiet breakfast,饮食相关,2
Begin preparing a home-cooked meal,饮食相关,2
Begin preparing a meal,饮食相关,2
Begin preparing a meal if not already done,饮食相关,2
Begin preparing food if necessary,饮食相关,2
Begin preparing the ingredients for cooking,饮食相关,2
Begin preparing the meal,饮食相关,2
Begin preparing the selected dish,其他,2
Begin preparing the selected meal,饮食相关,2
Begin sleep by closing eyes and adopting a comfortable sleep position,睡眠相关,2
Begin to drift off to sleep,睡眠相关,2
Begin to fall asleep,睡眠相关,2
Begin to pack personal items,购物采购,2
Begin to wind down and prepare for sleep,睡眠相关,2
Call a friend,社交沟通,2
Change into comfortable attire,家居环境管理,2
Change into comfortable clothing suitable for walking,家居环境管理,2
Check and adjust room temperature to comfortable level,家居环境管理,2
Check availability and make a reservation if necessary,其他,2
Check current availability of outdoor seating,其他,2
Check current inventory at home,购物采购,2
Check current location for any available shopping options,购物采购,2
Check current needs and list items to purchase,购物采购,2
Check current needs for shopping,购物采购,2
Check existing food supplies or make a shopping list,购物采购,2
Check for available friends to contact,社交沟通,2
Check for contacts,其他,2
Check for ingredients to prepare a meal,饮食相关,2
Check if environment is suitable for sleeping,睡眠相关,2
Check inventory of food supplies,购物采购,2
Check my schedule for any planned social activities,计划与决策,2
Check my schedule for available friends,社交沟通,2
Check pantry and fridge for ingredients,饮食相关,2
Check phone contacts for friends' numbers,数字设备与账号操作,2
Check phone for contacts,数字设备与账号操作,2
Check phone for recent messages,数字设备与账号操作,2
Check the environment for comfort,家居环境管理,2
Check the meal prep,饮食相关,2
Check the temperature to ensure it is comfortable for sleep,睡眠相关,2
Choose a food item or decide to prepare a meal,饮食相关,2
Choose a meal from the menu that is healthy and easily digestible,饮食相关,2
Choose a method to contact friends,社交沟通,2
"Choose a place based on comfort, food options, and cost",饮食相关,2
Choose a suitable meal based on preference and availability,饮食相关,2
Choose home-cooked meal options,饮食相关,2
Chooses a meal based on current health and preference,饮食相关,2
Clean up after breakfast,饮食相关,2
Clean up after dining,饮食相关,2
Clean up after eating to maintain a clean living space,饮食相关,2
Clean up after eating to maintain a peaceful environment,饮食相关,2
Clean up after eating to maintain the home's order,饮食相关,2
Clean up after eating to maintain the peace of the home,饮食相关,2
Clean up after meal,饮食相关,2
Clean up after the meal to maintain a comfortable environment,饮食相关,2
Clean up and store leftover food or packaging,购物采购,2
Clean up the kitchen after eating,饮食相关,2
Clean up the kitchen and utensils used during the meal,饮食相关,2
Clean up the meal area,饮食相关,2
Clean up the meal area to maintain a clean environment,饮食相关,2
Clean up the table and store leftover food,购物采购,2
Clear the dining area after eating,饮食相关,2
Clear the meal area after eating to maintain a clean and comfortable environment,饮食相关,2
Clear the plates and utensils after eating,饮食相关,2
"Clear the table, preparing for a restful rest following the meal",饮食相关,2
Close eyes and drift into sleep,睡眠相关,2
Close the bedroom curtains to block out light,睡眠相关,2
Close the bedroom door,睡眠相关,2
Close the bedroom door and begin to sleep,睡眠相关,2
Close the bedroom door for privacy,睡眠相关,2
Close the bedroom door to signal readiness for sleep,睡眠相关,2
Close the curtains or blinds to create a darker sleeping environment,睡眠相关,2
Close the curtains to block out light,家居环境管理,2
Close the curtains to create a dark environment,家居环境管理,2
Close the curtains to ensure darkness for better sleep,睡眠相关,2
Close the eyes and drift off to sleep,睡眠相关,2
Close the eyes and prepare for sleep,睡眠相关,2
Close the eyes and relax,放松与情绪调节,2
Close your eyes and drift into sleep,睡眠相关,2
"Close your eyes and relax, starting the sleep process",睡眠相关,2
Complete the purchase,购物采购,2
Conclude meal preparation,饮食相关,2
Consider having a small dessert if desired,计划与决策,2
Consider preparing a light snack or drink to enjoy while relaxing,放松与情绪调节,2
Consume the food item,饮食相关,2
Consume the meal in a comfortable setting,饮食相关,2
Consume the meal prepared,饮食相关,2
Contemplate the underlying feeling of hope,其他,2
Cook breakfast,饮食相关,2
Cook the main dish,饮食相关,2
Cook the meal following a chosen recipe,饮食相关,2
Create a comfortable environment for reflection,放松与情绪调节,2
Decide on the type of shopping needed based on personal needs,购物采购,2
Determine if additional activities are needed to wind down,睡眠相关,2
Determine if there's a need for shopping based on income and consumption level,购物采购,2
Determine necessary shopping items based on current needs,购物采购,2
Determine necessary shopping items based on needs and preferences,购物采购,2
Determine shopping list based on daily needs,购物采购,2
Determine shopping list based on needs and preferences,购物采购,2
Determine shopping needs,购物采购,2
Determine shopping needs based on existing needs and preferences,购物采购,2
Determine the shopping list based on needs,购物采购,2
Determine the type of shopping needed based on income and consumption level,购物采购,2
Dim the lights in the living area,家居环境管理,2
Dim the lights to create a conducive sleeping environment,睡眠相关,2
Dim the lights to create a relaxing atmosphere,放松与情绪调节,2
Dim the lights to create a restful atmosphere,家居环境管理,2
Dim the lights to create a restful environment,家居环境管理,2
Dim the lights to signal the body to wind down,睡眠相关,2
Dispose of the meal-related waste properly,饮食相关,2
Dress appropriately for shopping,购物采购,2
Dress appropriately for the sunny weather,其他,2
Dress appropriately for the weather and temperature,家居环境管理,2
Dress comfortably for a shopping trip,购物采购,2
Eat dinner,饮食相关,2
Eat the home-cooked meal,饮食相关,2
Eat the prepared food,饮食相关,2
Eats the meal,饮食相关,2
End current activities at workplace,工作任务,2
End current work activities,工作任务,2
End work duties,工作任务,2
End work or activities at the workplace,工作任务,2
"Engage in a calming activity (e.g., reading or listening to soothing music)",放松与情绪调节,2
"Engage in a calming activity (e.g., reading) to relax the mind",放松与情绪调节,2
"Engage in a calming activity (e.g., reading, meditation)",放松与情绪调节,2
Engage in a calming activity (if desired),放松与情绪调节,2
Engage in a calming activity (optional),放松与情绪调节,2
Engage in a calming activity before sleep,睡眠相关,2
Engage in a calming activity like reading or listening to soothing music,放松与情绪调节,2
Engage in a calming activity or meditation,放松与情绪调节,2
Engage in a calming activity such as reading or listening to soothing music,放松与情绪调节,2
Engage in a calming activity such as reading or listening to soothing music to aid in relaxation,放松与情绪调节,2
Engage in a calming activity such as reading or meditation to relax,放松与情绪调节,2
Engage in a calming activity to ease into sleep,睡眠相关,2
Engage in a calming activity to help with relaxation,放松与情绪调节,2
Engage in a calming activity to induce relaxation,放松与情绪调节,2
Engage in a calming activity to reinforce the feeling of hope,放松与情绪调节,2
Engage in a calming activity to relax,放松与情绪调节,2
"Engage in a calming activity to relax (e.g., reading, meditation)",放松与情绪调节,2
Engage in a calming activity to relax mind and body,放松与情绪调节,2
Engage in a calming activity to wind down,睡眠相关,2
"Engage in a calming activity, if desired (e.g., reading a book, meditating, etc.)",放松与情绪调节,2
"Engage in a calming activity, if needed, to relax",放松与情绪调节,2
"Engage in a calming activity, such as deep breathing or reading",放松与情绪调节,2
"Engage in a calming activity, such as reading or meditating, to settle down",放松与情绪调节,2
"Engage in a calming activity, such as reading, to aid in relaxation",放松与情绪调节,2
Engage in a calming pre-sleep activity,睡眠相关,2
Engage in a light breathing exercise to help induce sleep,睡眠相关,2
Engage in a light reading activity,放松与情绪调节,2
Engage in a light reading or meditation to calm thoughts,放松与情绪调节,2
Engage in a light reading or meditation to help with relaxation,放松与情绪调节,2
Engage in a quiet activity to calm the mind,放松与情绪调节,2
"Engage in a quiet, reflective moment post-meal to appreciate the day's tranquility",饮食相关,2
"Engage in a relaxing activity after eating, such as reading or light meditation, to extend the sense of peace and contentment",饮食相关,2
Engage in a relaxing activity before lying down,放松与情绪调节,2
Engage in a relaxing activity before sleep to help with relaxation,睡眠相关,2
Engage in a relaxing activity like reading or listening to calm music to ease into sleep,睡眠相关,2
"Engage in a relaxing activity, such as reading or meditation",放松与情绪调节,2
Engage in a relaxing bedtime routine,睡眠相关,2
Engage in a relaxing routine to induce sleep,睡眠相关,2
"Engage in calming activity, such as reading a book or listening to soothing music",放松与情绪调节,2
Engage in light household activities to make the environment comfortable,家居环境管理,2
Engage in light reading or listening to soft music to induce relaxation,放松与情绪调节,2
Engage in light reading or meditation if desired,放松与情绪调节,2
Engage in light reading or meditation to help relax the mind,放松与情绪调节,2
Engage in light reading or meditation to relax the mind,放松与情绪调节,2
Engage in light reading or meditation to settle down,放松与情绪调节,2
Enjoy a leisurely morning with coffee or tea,其他,2
Enjoy a light evening snack,其他,2
Enjoy a light snack or tea to keep energy levels up,其他,2
Enjoy a moment of relaxation following the meal,饮食相关,2
Enjoy a quiet meal,饮食相关,2
"Enjoy a quiet meal with a focus on simple, nourishing dishes",饮食相关,2
Enjoy a relaxing bath,放松与情绪调节,2
Enjoy a warm cup of tea or coffee,其他,2
Enjoy breakfast in a relaxed manner,饮食相关,2
Enjoy the current peaceful mood,其他,2
