step_idx,day,t,parent_id,behavior_coarse,action,status,score,action_hits,status_hits,friction_subtype,subtype_matched_tokens
38,0,55801.0,500059193,出行移动,Return to home safely,"""I'm wandering through the city on a pleasant, sunny afternoon, my curiosity piqued by a new app update that I can't wait to explore, yet I'm cautious not to get lost in the maze of options. My mood is serene, with no pressing thoughts occupying my mind as I make my way back home.""",3.0,,app|update,app_update_permission,app|update
39,0,56701.0,500059193,出行移动,Return to home safely,"""I'm taking a leisurely stroll, appreciating the sunny weather, my mind free and easy, as I navigate through the bustling city with the help of my trusty phone.""",2.0,,app|phone,app_update_permission,app|phone
40,0,57601.0,500059193,出行移动,Return to home safely,"""I'm winding down today, having checked out the latest app updates on my phone, and now I'm heading home to catch a well-deserved rest under the sunny afternoon skies. I feel content and looking forward to a peaceful evening at home.""",6.0,,app|phone|update|updates,app_update_permission,app|phone|update|updates
44,0,61201.0,500059193,社交沟通,Check the contact information of close friends,"""I'm leisurely exploring new features on my smartphone, enjoying the pleasant weather, and trying to update my contact list with friends, keeping in mind the importance of clear guidance to avoid any confusion.""",20.7,contact|friend|friends,contact|friend|friends|phone|smartphone|update,social_contact_coordination,contact|friend|friends
47,0,63901.0,500059193,社交沟通,Identify friends to contact based on current location and common interests,"""I'm sifting through my smartphone for apps to keep in touch with friends, my heart light and hopeful at the prospect of finding someone to share this sunny day with.""",17.7,contact|friend|friends,app|apps|friend|friends|phone|smartphone,social_contact_coordination,contact|friend|friends
49,0,65701.0,500004777,放松与情绪调节,Engage in a calming activity,"""I'm enjoying a serene evening at home, the sunlight streaming in makes the simple, straightforward task of updating my accounts feel like a welcome routine, despite the lingering unease over a recent payment issue.""",6.0,,account|accounts,account_auth_security,account|accounts
49,0,65701.0,500059193,社交沟通,Select the best time for a call,"""I'm currently enjoying a sunny evening, scanning the notifications on my phone for a convenient time to call my friends. I'm thoughtful, considering the day's events but not feeling particularly elated or down.""",15.95,call,call|friend|friends|notification|notifications|phone,social_contact_coordination,call|friend|friends
50,0,66601.0,500059193,数字设备与账号操作,Check the phone's battery level,"""I'm enjoying a peaceful evening at home, the sun is shining, and I'm checking my phone's battery level with a satisfied feeling, as I'm content with the day's activities.""",2.9,phone,phone,app_update_permission,phone
51,0,67501.0,500004777,放松与情绪调节,Relax and unwind,"""I've just returned home after a relaxing walk, the sun setting makes me feel content with a quiet evening ahead. With a sense of relief, I plan to unwind by watching a movie before I head off to bed.""",1.0,,setting,app_update_permission,setting
51,0,67501.0,500059193,出行移动,Move from current location to the house,"""Right now, I'm happily strolling through a sunny evening, the 23-degree air a pleasant relief from the day's indoor warmth, my thoughts are as clear as the sky above, and I'm looking forward to a peaceful night at home.""",1.0,,app,app_update_permission,app
52,0,68401.0,500004777,放松与情绪调节,Relax and unwind,"""I've just finished my evening routine of checking my accounts and updating passwords, feeling a sense of relief as everything seems secure and orderly. Now, I'm at home, enjoying the serene evening, with the sun still shining brightly outside, as I prepare to relax and drift off to sleep.""",11.0,,account|accounts|order|password,ecommerce_order_flow,order
52,0,68401.0,500059193,出行移动,Move from current location to the house,"""I'm strolling through a sunny evening, the gentle warmth of 23 degrees making my retirement pursuits, like exploring new features on my phone, feel particularly enjoyable as I head home, satisfied with the simple, pleasant day I've had.""",1.0,,phone,app_update_permission,phone
61,0,76501.0,500059193,出行移动,Arrive at the restaurant,"""I'm enjoying the pleasant sunny weather, my spirits high as I'm on my way to a restaurant, ready to indulge in a meal outside. My mood is content as I navigate my way with the help of my trusty map app, keeping a watchful eye on any unusual permissions requests.""",2.0,,app|permission,app_update_permission,app|permission
62,0,77401.0,500044556,放松与情绪调节,"Engage in a calming activity if needed (e.g., reading or meditating) before lying down","""I'm winding down for the night, enjoying the warm, sunny evening as I sit on a park bench, my eyes scanning the clear sky, my mind calm despite the faint anxiety that sometimes creeps in when I'm faced with digital challenges.""",1.0,,digital,app_update_permission,digital
67,0,81901.0,500044556,放松与情绪调节,Close your eyes and take deep breaths to calm down,"""I'm winding down in my cozy living room, the sun setting outside, feeling the warmth of the room as I sit comfortably on my couch, the gentle hum of the old phone in my hands providing a soothing reminder that it's time to rest.""",4.0,,phone|reminder|setting,notification_risk_interrupt,reminder
68,0,82801.0,500004777,放松与情绪调节,Engage in a relaxing activity,"""I'm winding down for the night, feeling content after a day of managing the mundane tasks through simple, straightforward apps, while the gentle warmth of the 23-degree evening sun outside my window promises a peaceful night ahead.""",2.0,,app|apps,app_update_permission,app|apps
69,0,83701.0,500004777,放松与情绪调节,Engage in a relaxing activity,"""I'm at home, enjoying a peaceful evening after a day of managing my affairs efficiently, with a sense of ease and a hint of concern lingering over any potential security issues with my online activities.""",1.0,,online,app_update_permission,online
71,0,85501.0,500061990,购物采购,Make purchases from the shopping list,"""I'm winding down the evening, feeling a sense of satisfaction as I prepare to go shopping, knowing the weather's pleasant and the temperature is just right, though the system updates and new pages sometimes frustrate me.""",11.0,purchase|shopping list,update|updates,ecommerce_order_flow,purchase|shopping list
76,1,3601.0,500061990,购物采购,Determine shopping list based on needs,"""I've had a peaceful day, enjoying the sunshine and the quiet of the neighborhood, and now, sitting comfortably in my home, I'm contemplating my shopping list, feeling satisfied by the tranquility of the day.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
77,1,4501.0,500004777,数字设备与账号操作,Set aside any devices or activities that might interfere with sleep,"""As I sit comfortably at home, the warm sunlight filtering through the window and the gentle hum of the city outside, I take a moment to disconnect from the digital world, mindful of my safety and the simplicity I find in these uneventful moments of balance and calm.""",2.9,device,digital,app_update_permission,device|digital
81,1,8101.0,500004777,数字设备与账号操作,Remove any electronic devices that might interfere with sleep,"""I'm winding down for the night, carefully disconnecting my devices to ensure a peaceful sleep, feeling content with the balance of emotions that settle in my calm mind.""",2.9,device,device,app_update_permission,device
82,1,9001.0,500062228,放松与情绪调节,"Engage in calming activity, such as reading a book or listening to soothing music","""I am settled at home, the sun shining warmly outside, feeling a serene relief after a quiet day with no pressing matters to handle. I've just wrapped up a calming read and am now considering some soothing music to relax further.""",1.0,,app,app_update_permission,app
83,1,9901.0,500062228,放松与情绪调节,"Engage in calming activity, such as reading a book or listening to soothing music","""Today, as the sun gently shines and the temperature lingers at a comfortable 23 degrees, I'm comfortably settled at home, feeling a sense of relief after a quiet day with no pressing issues. I'm currently enjoying a peaceful moment, perhaps by reading a book or tuning into some soothing music, appreciating the calm in the otherwise bustling community life.""",1.0,,app,app_update_permission,app
84,1,10801.0,500061990,放松与情绪调节,Relax and close your eyes,"""At 3:00 in the morning, I'm nestled in the quiet comfort of my home, feeling a sense of satisfaction after a day of tranquil solitude, the simplicity of the night and the absence of digital interruptions brings me a soothing peace.""",1.0,,digital,app_update_permission,digital
86,1,12601.0,500062228,数字设备与账号操作,Turn off all electronic devices and embrace the darkness to signal the body for sleep,"""As the sun sets, I sit comfortably at home, my eyes reflecting the serene glow, feeling a deep sense of relief from the quietude of the day. I turn off my devices, welcoming the darkness to guide me into a peaceful night of rest.""",2.9,device,device,app_update_permission,device
90,1,16201.0,500004777,数字设备与账号操作,Turn off all electronic devices to reduce exposure to blue light,"""I'm winding down for the day, my hands reach for the off switch on my phone and laptop, the bright sunlight filtering through the window a comforting contrast to the dimming screen, and as I turn off my devices, I feel a sense of peace in the simplicity of the evening ahead.""",3.9,device,device|phone,app_update_permission,device|phone
108,1,32401.0,500044556,数字设备与账号操作,Prepare for bed by turning off electronic devices,"""I'm enjoying a serene morning, my body weary from the day's activities, as I slowly wind down in the quiet comfort of my home, my mind at peace with the simplicity of the day's quietude.""",1.9,device,,app_update_permission,device
108,1,32401.0,500053103,购物采购,Purchase food or order delivery,"""I'm leisurely perusing my phone, the sun's warm rays making me feel content as I consider ordering lunch to enjoy in the tranquility of my current location. Today has been peaceful, a day with no extraordinary ups or downs, and it's all bringing me a sense of relief.""",11.35,delivery|order|purchase,order|phone,ecommerce_order_flow,delivery|order|purchase
113,1,36901.0,500062228,数字设备与账号操作,Remove any electronic devices that might keep you awake,"""I'm settling into a peaceful afternoon, savoring the quiet after a day of volunteer work. The sun's warmth is soothing, and I feel a sense of relief as I prepare to wind down at home.""",1.9,device,,app_update_permission,device
114,1,37801.0,500001485,放松与情绪调节,Relax with a good book,"""Today, as I sit in my cozy living room with the sun shining through the window, I am engrossed in a good book, feeling a sense of hope while the quiet calm of the day envelops me, a serene contrast to my earlier concerns about online transactions.""",1.0,,online,app_update_permission,online
116,1,39601.0,500004777,放松与情绪调节,Relax in a comfortable position,"""I'm sitting comfortably at home, the sun shining warmly through the window, feeling a sense of peace as I take a break from managing my online life, focusing on the simple, efficient tasks that keep my day running smoothly.""",1.0,,online,app_update_permission,online
118,1,41401.0,500001485,放松与情绪调节,Relax with a good book,"""Today, sitting comfortably in my dimly lit room with the sun casting a warm glow through the window, I'm wrapped in a sense of calm, savoring a quiet afternoon with a good book, my heart brimming with a cautious optimism that today's tranquility will hold.""",1.0,,app,app_update_permission,app
120,1,43201.0,500004777,放松与情绪调节,Listen to some soft music to relax,"""Sitting comfortably at home on a sunny afternoon, I'm enjoying the calm atmosphere while taking care to keep my accounts secure and considering my next move with a peaceful yet cautious mind.""",6.0,,account|accounts,account_auth_security,account|accounts
125,1,47701.0,500004777,放松与情绪调节,Read a book or magazine for some quiet entertainment,"""I find myself at home in a peaceful, sunny afternoon, the sun casting a warm glow. Despite the tranquil scene, a sense of unease lingers with each \""risk alert\"" or \""payment failure\"" notification, yet I manage a contented calm by focusing on a simple, engaging read.""",5.0,,alert|notification,notification_risk_interrupt,alert|notification
126,1,48601.0,500004777,放松与情绪调节,Read a book or magazine for some quiet entertainment,"""I'm sitting comfortably at home, the sunlight streaming through the window, and I'm flipping through a leisurely book, my mind at ease after a day of routine checks on my online accounts.""",7.0,,account|accounts|online,account_auth_security,account|accounts
127,1,49501.0,500004777,放松与情绪调节,Read a book or magazine for some quiet entertainment,"""As the sun casts a warm glow, I sit comfortably at home, the simple and straightforward layout of my surroundings a welcome change from the overly ornate and\u8bf1\u5bfc\u6027\u5f3a\u7684 interfaces I often encounter online. The tranquil state of my mind is perfectly balanced, as I contemplate the leisurely activity of unwinding with a book or a magazine.""",1.0,,online,app_update_permission,online
127,1,49501.0,500062228,购物采购,Prepare shopping list,"""I'm sipping my tea in the quiet community center, a sense of calm washes over me as I prepare my shopping list. It's a peaceful, sunny afternoon with a gentle warmth, and I'm feeling a comforting relief from the absence of digital hurdles.""",8.3,shopping list,digital|shopping list,ecommerce_order_flow,shopping list
128,1,50401.0,500062228,购物采购,Prepare shopping list,"""I'm relaxing in the community center on this sunny afternoon, feeling a sense of relief that today has been uneventful, and I'm in the midst of preparing a shopping list for my planned trip to the store, which I hope will be a straightforward and easy task.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
130,1,52201.0,500064184,购物采购,Identify shopping list based on current needs and preferences,"""I'm relaxing in the comfort of my home, the sun casting a warm glow as I mull over the uneventful day that's passed, feeling a sense of relief as I prepare a shopping list for some much-needed supplies.""",9.3,shopping list,shopping list|supplies,ecommerce_order_flow,shopping list|supplies
132,1,54001.0,500062228,社交沟通,Select a suitable method for contacting friends,"""I'm leisurely enjoying the sunny weather, sifting through my options to reconnect with friends, feeling a serene sense of relief from a day without pressing concerns, and looking forward to a simple, comforting chat.""",15.7,contact|friend|friends,chat|friend|friends,social_contact_coordination,chat|contact|friend|friends
133,1,54901.0,500062228,数字设备与账号操作,Access phone or contact list,"""After a peaceful day without any significant events, I'm feeling a sense of relief, gently sifting through my phone to reach out to friends, while appreciating the sunny weather and a day that allowed for balance and tranquility.""",11.95,contact|phone,app|friend|friends|phone,social_contact_coordination,contact|friend|friends
133,1,54901.0,500064184,购物采购,Enter the store and proceed to the aisles with the shopping list,"""I'm leisurely browsing the store aisles, feeling a mix of mild curiosity and contentment as I tick off items on my shopping list, under the bright sun. My emotions are at a moderate level, and I find a sense of relief in the day's uneventful, routine pace.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
134,1,55801.0,500001485,数字设备与账号操作,Check phone for recent messages,"""I'm sitting comfortably in my small, sunny room, scanning my phone for messages from friends, feeling a gentle sense of hope amidst a day that's been both peaceful and tinged with the subtle sorrow of loneliness.""",11.6,message|phone,friend|friends|message|phone,social_contact_coordination,friend|friends|message
135,1,56701.0,500001485,数字设备与账号操作,Check phone for recent messages,"""I'm at home, feeling a blend of serene hope and lingering concern as I reach for my phone to check messages, my heart light yet tugged by the thought of my children and the quiet day that seems so uneventful yet pregnant with potential.""",7.6,message|phone,message|phone,social_contact_coordination,message
136,1,57601.0,500000788,购物采购,Select items from the shopping list and place them in the shopping cart,"""I'm browsing through my phone, scanning a sunny afternoon for the items on my shopping list, feeling a blend of calmness and mild curiosity about the new features I come across, all wrapped in the comforting relief of a day that's neither exhilarating nor challenging.""",16.05,cart|shopping cart|shopping list,app|phone|shopping list,ecommerce_order_flow,cart|shopping cart|shopping list
136,1,57601.0,500001485,购物采购,Prepare a shopping list based on needs,"""As I sit in the quiet solitude of my home, the sun casting a warm, comforting glow, I carefully jot down a shopping list, hoping to make it through my errands without any of the anxiety that usually creeps in when I think about navigating digital transactions.""",8.3,shopping list,digital|shopping list,ecommerce_order_flow,shopping list
137,1,58501.0,500000788,购物采购,Proceed to the checkout counter and pay for the purchased items,"""I'm wandering through a sunny day, making my way to the checkout counter with a basket of items, my mind reflecting on the day's\u5e73\u6de1 as I pay, feeling a sense of relief at the lack of significant events.""",10.0,checkout|purchase,checkout,ecommerce_order_flow,checkout|purchase
137,1,58501.0,500001485,购物采购,Prepare a shopping list based on needs,"""Today, I'm feeling a mix of calm and anticipation, as I sit in my cozy living room, the sunlight streaming in through the window, and I'm carefully crafting a shopping list, hoping to find a sense of routine amidst the quiet day.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
138,1,59401.0,56404,购物采购,Proceed to the checkout counter and pay for the purchased items,"""I'm at the checkout counter, scanning through my shopping basket with a sense of relief. Despite the day's lack of drama, I'm content, feeling a serene kind of peace as I finalize my purchases.""",12.0,checkout|purchase,checkout|purchase,ecommerce_order_flow,checkout|purchase
139,1,60301.0,500063544,购物采购,Proceed to the checkout counter and pay for the purchased items,"""I'm wandering the store aisles, a bit lost in my thoughts as I ponder the day's trivialities, my mood comfortably neutral, my hands full of items I'll soon checkout and pay for, feeling a quiet satisfaction in the mundane.""",10.0,checkout|purchase,checkout,ecommerce_order_flow,checkout|purchase
140,1,61201.0,500063544,出行移动,Return to home from current location,"""As I meander through the sunny streets, a sense of calm prevails, knowing I'm nearly home, where the day's mundane routine of tinkering with my gadgets and chatting with neighbors awaits. Today was a quiet one, and I'm feeling an underlying wave of relief that comes with the uneventfulness of life in slow motion.""",2.0,,chat,social_contact_coordination,chat
143,1,63901.0,500001485,购物采购,Plan shopping list based on daily needs,"""As I sit in the comfort of my modest home, the warm sunlight streaming in through the window, I am carefully jotting down a shopping list for my daily needs, my heart filled with a hopeful yet cautious optimism, much like the serene anticipation of the unknown ahead.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
144,1,64801.0,500001485,购物采购,Plan shopping list based on daily needs,"""As I sit in the comfortable quiet of my home on this sunny evening, I'm preparing my shopping list with a hopeful heart, balancing the familiar mix of cautiousness and anticipation that often precedes my shopping trips.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
148,1,68401.0,500044556,购物采购,Check the shopping list,"""I'm leisurely perusing my shopping list on my old phone, content in the tranquil setting of the sun-kissed evening, knowing that the day's simplicity brings its own serene beauty.""",9.3,shopping list,phone|setting|shopping list,ecommerce_order_flow,shopping list
148,1,68401.0,500063544,出行移动,Move from current location to home,"""I'm winding down my evening, the sun setting outside, and I'm navigating through the quiet streets, my mind reflecting on a day that felt just as uneventful as it was unremarkable. It's a time for me to retreat to the comfort of home, where I can indulge in a bit of tech troubleshooting and enjoy the simplicity of a peaceful evening.""",1.0,,setting,app_update_permission,setting
149,1,69301.0,500063544,出行移动,Return to home,"""I've finished tinkering with my smartphone's new features, and despite the bright sun outside, I feel content to return to the familiar comfort of my home, a feeling of relief washing over me as I walk, knowing that today's quiet day brings a sense of stability.""",2.0,,phone|smartphone,app_update_permission,phone|smartphone
150,1,70201.0,500063544,出行移动,Return to home,"""I've just returned home after a leisurely day spent exploring new smartphone features and assisting my neighbors with tech-related concerns. I find myself in a peaceful state of relief, content with the slow pace of life and the absence of any pressing issues today.""",2.0,,phone|smartphone,app_update_permission,phone|smartphone
151,1,71101.0,500061990,放松与情绪调节,Reflect on the day and practice mindfulness to relax,"""I'm sitting comfortably at home, the sun setting outside, feeling content and serene as I ponder the tranquility of the day, satisfied by the peaceful passage of time and the simplicity of the day's events.""",1.0,,setting,app_update_permission,setting
153,1,72901.0,500063544,出行移动,Return home from current location,"""I'm leisurely returning home from my day's explorations, feeling a serene sense of relief that the day passed uneventfully and that now I can retreat to the comfort of my home and its familiar digital aids.""",1.0,,digital,app_update_permission,digital
155,1,74701.0,500061990,购物采购,Review shopping list,"""With the sun shining warmly at 8:45 PM, I'm sitting comfortably in my quiet home, satisfied to have had a tranquil day with no pressing issues to deal with, and I'm now enjoying the peace by reviewing my shopping list for tomorrow.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
156,1,75601.0,500044556,放松与情绪调节,Engage in a relaxing activity,"""I'm sitting comfortably in my living room, the sun setting outside casting a gentle glow. My phone is beside me, its screen reflecting the warm light, and I feel a quiet contentment knowing I have no urgent tasks, just the simplicity of the evening ahead.""",2.0,,phone|setting,app_update_permission,phone|setting
159,1,78301.0,500044556,放松与情绪调节,Practice mindfulness or meditation,"""As I stroll through the park on this serene evening, the warmth of the sun on my face and the quiet rustling of leaves bring a sense of calm and contentment. Despite the simple routine, I find a deep appreciation for the tranquility of the moment, knowing that even in the quietest of days, there's a beauty to be cherished.""",1.0,,app,app_update_permission,app
159,1,78301.0,500061990,购物采购,Select items from the shopping list,"""I'm enjoying a quiet evening after a peaceful day, content with my tranquility, as I scroll through my shopping list, selecting items that I plan to purchase on my way home.""",9.3,shopping list,purchase|shopping list,ecommerce_order_flow,purchase|shopping list
160,1,79201.0,500061990,购物采购,Select items from the shopping list,"""After a peaceful day, I'm now comfortably seated, scanning through my shopping list, feeling a sense of satisfaction in the simple tranquility of my evening.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
162,1,81001.0,500044556,放松与情绪调节,Read a book or listen to calm music,"""As I sit comfortably at home, the soft evening light gently filters through my window, and with my trusted old phone at my side, I am lost in the pages of a tranquil book, a simple, satisfying routine that wraps me in a sense of peace and contentment.""",1.0,,phone,app_update_permission,phone
162,1,81001.0,500061990,购物采购,Proceed to the checkout and pay for purchases,"""Today, I've made my way to the checkout counter with a sense of satisfaction, content that the day was uneventful, allowing me to cherish the tranquility of a peaceful shopping trip.""",10.0,checkout|purchase,checkout,ecommerce_order_flow,checkout|purchase
165,1,83701.0,500061990,放松与情绪调节,"Engage in a calming activity, such as reading or listening to soothing music","""I'm sitting comfortably at home, the sun setting outside, feeling a sense of contentment as I ponder the peacefulness of the day, knowing that despite the lack of excitement, the calm has been a welcome reprieve from the usual hustle.""",1.0,,setting,app_update_permission,setting
167,1,85501.0,500044556,购物采购,Plan the shopping list based on daily needs,"""I am winding down for the day, feeling a gentle warmth from the sun and the quiet hum of the evening as I contemplate a simple shopping list in my head, the comfort of routine filling my senses.""",7.3,shopping list,shopping list,ecommerce_order_flow,shopping list
