gensim_general_social_simulation_platform_with_llm_agents_2024	arxiv	2410.04360	GenSim: A General Social Simulation Platform with Large Language Model based Agents
internet_healthcare_service_use_older_adults_2026	direct	10.2196/78037	Internet Health Care Service Use Behavioral Pattern Among Older Adults and the Role of the Technology Acceptance and Social Ecological Theory Model: Cross-Sectional Survey
interventions_for_addressing_digital_exclusion_older_adults_2025	pmc	PMC12826648	Effectiveness of Interventions for Addressing Digital Exclusion in Older Adults in the Social Care Domain: Rapid Review
key_challenges_barriers_digital_literacy_older_adults_2026	direct	10.2196/80647	Key Challenges and Barriers to Digital Literacy for Older Adults: Scoping Review
latent_obstacles_in_older_adults_digital_health_participation_2025	direct	10.1186/s12889-025-25847-7	Latent obstacles in older adults' digital health participation: a community-based hybrid cluster analysis with natural language processing
learned_helplessness_and_learned_controllability_review_2025	pmc	PMC12417506	Learned helplessness and learned controllability: from neurobiology to cognitive, emotional and behavioral neurosciences
older_adults_perceptions_of_technology_tablet_barriers_2017	pmc	PMC5649151	Older Adults Perceptions of Technology and Barriers to Interacting with Tablet Computers: A Focus Group Study
older_adults_technology_anxiety_self_efficacy_digital_public_services_2024	pmc	PMC11657182	Older adults’ self-perception, technology anxiety, and intention to use digital public services
smartphone_psychological_wellbeing_technophobia_older_women_2025	direct	10.1186/s13104-025-07181-8	Role of smart phones in improving psychological well-being and successful ageing of Iranian old women living with Technophobia: a randomized controlled trial
simulating_generative_social_agents_theory_informed_workflow_design_2025	arxiv	2508.08726	Simulating Generative Social Agents via Theory-Informed Workflow Design
social_simulation_driven_by_llm_agents_survey_2024	arxiv	2412.03563	From Individual to Society: A Survey on Social Simulation Driven by Large Language Model-based Agents
technology_anxiety_loneliness_behavioral_intention_older_adults_2025	direct	10.1371/journal.pone.0321144	The mediating role of technology anxiety in the impact of loneliness on technology behavioral intention among community-dwelling older adults
technophobia_in_digital_health_contexts_review_2025	pmc	PMC12409025	Technophobia in digital health contexts: A systematic review and meta-analysis with a focus on older adults
using_llms_to_simulate_multiple_humans_2022	arxiv	2208.10264	Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies
computer_related_self_efficacy_and_anxiety_older_adults_mci_2012	pmc_oai_jats_to_pdf	PMC3483565	Computer related self-efficacy and anxiety in older adults with and without mild cognitive impairment
enhancing_attitudes_self_efficacy_older_adults_computers_internet_2008	pmc_oai_jats_to_pdf	PMC2817993	Enhancing the Attitudes and Self-Efficacy of Older Adults Toward Computers and the Internet: Results of a Pilot Study
influence_social_support_technophobia_self_efficacy_ehealth_literacy_older_adults_2025	pmc_oai_jats_to_pdf	PMC11808884	Influence of social support on technophobia in older adults in urban communities: the mediating role of self-efficacy and e-health literacy, a cross-sectional study
social_support_playing_around_digital_literacy_tablets_older_adults_2017	pmc_oai_jats_to_pdf	PMC5505553	Social Support and “Playing Around”: An Examination of How Older Adults Acquire Digital Literacy With Tablet Computers
call_a_teenager_grandchildren_help_older_adults_new_technologies_2019	pmc_oai_jats_to_pdf	PMC6715044	“Call a Teenager… That’s What I Do!” - Grandchildren Help Older Adults Use New Technologies: Qualitative Study
use_or_non_use_of_gerontechnology_2013	pmc_oai_jats_to_pdf	PMC3823313	Use or Non-Use of Gerontechnology—A Qualitative Study
experiential_value_of_technologies_older_adults_2022	pmc_oai_jats_to_pdf	PMC8872025	Experiential Value of Technologies: A Qualitative Study with Older Adults
learned_helplessness_at_fifty_2016	pmc_oai_jats_to_pdf	PMC4920136	Learned Helplessness at Fifty: Insights from Neuroscience
reward_based_framework_perceived_control_2019	pmc_oai_jats_to_pdf	PMC6379460	A Reward-Based Framework of Perceived Control
activation_vmpfc_uncontrollable_stressor_behavioral_control_2008	pmc_efetch_front_only_to_pdf	PMC2862730	Activation of the ventral medial prefrontal cortex during an uncontrollable stressor reproduces both the immediate and long-term protective effects of behavioral control
learned_stressor_resistance_prefrontal_cortex_2014	pmc_oai_jats_to_pdf	PMC4183187	Learned stressor resistance requires extracellular signal-regulated kinase in the prefrontal cortex
chinese_version_technophobia_scale_older_adults_2022	html_reconstructed	10.3761/j.issn.0254-1769.2022.03.021	技术焦虑量表的汉化及其在老年群体中的信效度检验
technophobia_digital_health_older_adults_china_2023	html_reconstructed	10.3761/j.issn.0254-1769.2023.11.010	社区老年人对数字健康技术焦虑的现状及护理对策分析
out_of_one_many_using_language_models_to_simulate_human_samples_2023	direct	10.1017/pan.2023.2	Out of One, Many: Using Language Models to Simulate Human Samples
llm_agents_simulate_human_trust_behavior_2024	direct	10.52202/079017-0501	Can Large Language Model Agents Simulate Human Trust Behavior?
questioning_survey_responses_large_language_models_2024	direct	10.52202/079017-1458	Questioning the Survey Responses of Large Language Models
